action,reward,state,done
scheduler-round-robin,1,[[8 4]],False
scheduler-round-robin,-1,[[8 4]],False
scheduler-round-robin,-1,[[8 4]],False
genetic,3,[[8 4]],False
scheduler-round-robin,-1,[[8 4]],False
scheduler-round-robin,3,[[8 4]],False
genetic,-1,[[8 4]],False
genetic,3,[[8 4]],False
genetic,3,[[8 4]],True
genetic,1,[[5 4]],False
genetic,-1,[[5 4]],False
scheduler-round-robin,3,[[5 4]],False
genetic,-1,[[5 4]],False
genetic,3,[[5 4]],False
genetic,3,[[5 4]],True
genetic,1,[[8 4]],False
genetic,3,[[8 4]],False
genetic,-1,[[8 4]],False
genetic,3,[[8 4]],False
genetic,-1,[[8 4]],False
scheduler-round-robin,-1,[[8 4]],False
genetic,3,[[8 4]],False
genetic,3,[[8 4]],True
genetic,1,[[11  4]],False
genetic,-1,[[11  4]],False
genetic,-1,[[11  4]],False
scheduler-round-robin,3,[[11  4]],False
scheduler-round-robin,-1,[[11  4]],False
scheduler-round-robin,-1,[[11  4]],False
scheduler-round-robin,-1,[[11  4]],False
genetic,3,[[11  4]],False
scheduler-round-robin,-1,[[11  4]],False
genetic,-1,[[11  4]],False
genetic,1,[[11  4]],False
scheduler-round-robin,-1,[[11  4]],False
genetic,3,[[11  4]],False
genetic,3,[[11  4]],True
genetic,1,[[11  4]],False
genetic,-1,[[11  4]],False
scheduler-round-robin,3,[[11  4]],False
genetic,-1,[[11  4]],False
genetic,3,[[11  4]],False
genetic,-1,[[11  4]],False
genetic,3,[[11  4]],False
scheduler-round-robin,-1,[[11  4]],False
genetic,3,[[11  4]],False
genetic,-1,[[11  4]],False
genetic,1,[[8 4]],False
genetic,-1,[[8 4]],False
scheduler-round-robin,-1,[[8 4]],False
scheduler-round-robin,-1,[[8 4]],False
genetic,3,[[8 4]],False
genetic,-1,[[8 4]],False
scheduler-round-robin,-1,[[8 4]],False
genetic,3,[[8 4]],False
genetic,3,[[8 4]],True
genetic,1,[[11  4]],False
scheduler-round-robin,-1,[[11  4]],False
genetic,3,[[11  4]],False
genetic,3,[[11  4]],True
scheduler-round-robin,1,[[15  4]],False
genetic,-1,[[15  4]],False
genetic,3,[[15  4]],False
scheduler-round-robin,-1,[[15  4]],False
genetic,3,[[15  4]],False
genetic,3,[[15  4]],True
genetic,1,[[10  4]],False
scheduler-round-robin,3,[[10  4]],False
genetic,3,[[10  4]],True
